Timestamp,Study Level,Section,Has Conflict,Num Conflicts,Do you care?,Reason
13/11/2025 14:14:18,BA3,Mechanical Engineering,No,,,
13/11/2025 14:21:39,BA5,Mechanical Engineering,No,,,
13/11/2025 15:32:32,BA5,Computer Science,No,,,
13/11/2025 16:05:56,BA1,Data Science,No,,,
13/11/2025 16:47:07,BA5,Robotics,No,,,
13/11/2025 17:20:37,BA5,Physics,No,,,
13/11/2025 17:22:04,BA1,Computer Science,Yes,1.0,Yes,Curriculum Requirement
13/11/2025 17:50:53,BA3,Mechanical Engineering,No,,,
13/11/2025 18:30:53,Master,Communication Systems,No,,,
13/11/2025 19:16:10,Master,Mechanical Engineering,Yes,1.0,Yes,Academic Interest
13/11/2025 22:46:24,BA1,Physics,No,,,
13/11/2025 23:05:46,BA5,Mechanical Engineering,Yes,1.0,Yes,Academic Interest
13/11/2025 23:34:42,BA3,Data Science,No,,,
14/11/2025 13:16:03,BA5,Physics,Yes,3.0,No,Limited Alternatives
14/11/2025 13:29:03,BA1,Physics,No,,,
14/11/2025 14:17:46,Master,Physics,Yes,1.0,No,Academic Interest
14/11/2025 14:39:23,BA3,Computer Science,Yes,2.0,Yes,Academic Interest
14/11/2025 14:51:22,BA5,Mechanical Engineering,No,,,
14/11/2025 15:10:39,BA1,Electrical and Electronics Engineering,No,,,
14/11/2025 15:32:33,BA3,Data Science,Yes,1.0,No,Academic Interest
14/11/2025 15:38:24,BA1,Life Sciences Engineering,No,,,
14/11/2025 16:42:10,BA3,Physics,No,,,
14/11/2025 17:00:19,BA5,Robotics,No,,,
14/11/2025 17:06:14,BA5,Physics,Yes,1.0,Yes,Curriculum Requirement
14/11/2025 17:13:34,BA1,Life Sciences Engineering,No,,,
14/11/2025 18:02:45,Master,Computer Science,Yes,2.0,Yes,Best Schedule Fit
14/11/2025 18:13:02,BA3,NeuroX,No,,,
14/11/2025 18:49:49,BA5,Computer Science,Yes,1.0,Yes,Curriculum Requirement
14/11/2025 22:32:29,BA3,Computer Science,Yes,1.0,No,Academic Interest
14/11/2025 22:32:53,Master,NeuroX,Yes,2.0,No,Academic Interest
14/11/2025 22:44:22,BA5,Physics,Yes,1.0,Neutral,Best Schedule Fit
14/11/2025 22:46:51,BA5,Life Sciences Engineering,Yes,1.0,Yes,Curriculum Requirement
15/11/2025 13:47:25,BA3,Computer Science,No,,,
15/11/2025 14:04:16,Master,Physics,Yes,1.0,Neutral,Academic Interest
15/11/2025 14:10:56,BA5,Physics,No,,,
15/11/2025 15:15:35,BA5,Data Science,Yes,1.0,Neutral,Best Schedule Fit
15/11/2025 16:09:38,Master,Computer Science,Yes,1.0,No,Best Schedule Fit
15/11/2025 16:29:20,BA5,Physics,No,,,
15/11/2025 17:29:34,Master,Life Sciences Engineering,Yes,1.0,Yes,Academic Interest
15/11/2025 18:09:43,BA1,Physics,No,,,
15/11/2025 18:25:39,Master,Robotics,Yes,2.0,Yes,Academic Interest
15/11/2025 18:45:24,BA3,Electrical and Electronics Engineering,No,,,
15/11/2025 19:07:06,BA1,Physics,No,,,
15/11/2025 20:00:25,Master,Data Science,No,,,
15/11/2025 20:50:09,BA3,Life Sciences Engineering,No,,,
15/11/2025 21:24:08,Master,Computer Science,No,,,
15/11/2025 21:49:28,BA1,Life Sciences Engineering,No,,,
15/11/2025 22:53:22,BA5,Mechanical Engineering,Yes,3.0,Neutral,Academic Interest
15/11/2025 23:42:34,Master,Computer Science,Yes,1.0,Neutral,Academic Interest
15/11/2025 23:53:06,BA5,Robotics,Yes,1.0,Yes,Curriculum Requirement
15/11/2025 23:53:59,Master,Computer Science,No,,,
16/11/2025 13:25:10,BA5,Mechanical Engineering,Yes,1.0,Yes,Best Schedule Fit
16/11/2025 13:41:46,Master,Physics,No,,,
16/11/2025 13:46:09,Master,Computer Science,Yes,2.0,No,Academic Interest
16/11/2025 14:07:42,BA3,Physics,No,,,
16/11/2025 16:00:56,BA5,Computer Science,Yes,3.0,Neutral,Best Schedule Fit
16/11/2025 16:04:44,BA3,Computer Science,No,,,
16/11/2025 17:12:41,Master,Communication Systems,Yes,1.0,No,Academic Interest
16/11/2025 17:14:42,BA1,Computer Science,No,,,
